date,ship_name,ship_operator,ship_type,ship_category,daily_distance_nm,daily_distance_under_10,daily_distance_atba,cooperation,zone,vsr_season,whale_safe_system
5/1/2023,EVER FAST,Evergreen Marine Corp,Container Ship (Fully Cellular),container,48.84,29.66,0,60.73,Monterey Bay VSR,active,NA
5/1/2023,VALLE SOLE,Navigazione Montanari SpA,Chemical/Products Tanker,tanker,79.69,0.31,0,0.39,Monterey Bay VSR,active,NA
5/1/2023,LIBRA LEADER,NYK Line,Vehicles Carrier,ro-ro,63.41,56.8,0,89.58,Monterey Bay VSR,active,NA
5/1/2023,RACHEL CARSON,Monterey Bay Aquarium Research,Platform Supply Ship,other industry,59.24,41.66,0,70.32,Monterey Bay VSR,active,NA
5/1/2023,Western Highway,Kawasaki Kisen Kaisha Ltd,Vehicles Carrier,ro-ro,16.85,1.26,0,7.45,Monterey Bay VSR,active,NA
5/1/2023,COMMITMENT,Intrepid Ship Management Inc,Articulated Pusher Tug,towing/pushing,27.59,0,0,0,Monterey Bay VSR,active,NA
5/1/2023,TORM SUCCESS,TORM A/S,Chemical/Products Tanker,tanker,38.27,0,0,0,Monterey Bay VSR,active,NA
5/1/2023,TEXAS VOYAGER,Chevron Shipping Co LLC,Chemical/Products Tanker,tanker,17.84,0,0,0,Monterey Bay VSR,active,NA
5/1/2023,CROWN PRINCESS,Princess Cruise Lines Ltd,Passenger/Cruise,passenger,1.81,0,0,0,Monterey Bay VSR,active,NA
5/1/2023,CAP JERVIS,Maersk A/S,Container Ship (Fully Cellular),container,0.85,0.85,0,100,Monterey Bay VSR,active,NA
5/1/2023,DARLING RIVER,Pacific Basin Shipping HK Ltd,Bulk Carrier,bulk,0.9,0.9,0,100,Monterey Bay VSR,active,NA
5/1/2023,APOLLO VOYAGER,Chevron Shipping Co LLC,Crude Oil Tanker,tanker,27.44,27.44,0,100,Monterey Bay VSR,active,NA
5/2/2023,LIBRA SUN,Amazonas Tankers,Crude Oil Tanker,tanker,85.28,7.95,0,9.33,Monterey Bay VSR,active,NA
5/2/2023,EMPIRE STATE,Crowley Petroleum Services Inc,Chemical/Products Tanker,tanker,5.36,4.2,0,78.39,Monterey Bay VSR,active,NA
5/2/2023,OCEAN SEAGULL,Eastern Car Liner Ltd,General Cargo Ship,general cargo,90.55,28.62,0,31.61,Monterey Bay VSR,active,NA
5/2/2023,YASA SAPPHIRE,SDTR Marine Pte Ltd,Bulk Carrier,bulk,21.86,5.66,0,25.88,Monterey Bay VSR,active,NA
5/2/2023,MAJESTIC PRINCESS,Princess Cruise Lines Ltd,Passenger/Cruise,passenger,17.48,14.04,0,80.34,Monterey Bay VSR,active,NA
5/2/2023,NYK METEOR,Ocean Network Express Pte Ltd,Container Ship (Fully Cellular),container,82.06,0,0,0,Monterey Bay VSR,active,NA
5/2/2023,GRACE LOUISE,Kambara Kisen Singapore Pte,Bulk Carrier,bulk,2.88,0,0,0,Monterey Bay VSR,active,NA
5/2/2023,Glovis Crown,Hyundai Glovis Co Ltd,Vehicles Carrier,ro-ro,10.79,0,0,0,Monterey Bay VSR,active,NA
5/2/2023,GERONIMO,Sause Bros Inc,Tug,towing/pushing,33.65,33.65,0,100,Monterey Bay VSR,active,NA
5/2/2023,DARLING RIVER,Pacific Basin Shipping HK Ltd,Bulk Carrier,bulk,12.47,12.47,0,100,Monterey Bay VSR,active,NA
5/2/2023,APOLLO VOYAGER,Chevron Shipping Co LLC,Crude Oil Tanker,tanker,2.07,2.07,0,100,Monterey Bay VSR,active,NA
5/3/2023,BLUEFIN,North Wind Inc,Fishing Vessel,fishing,95,64.26,0,67.64,Monterey Bay VSR,active,NA
5/3/2023,RCC COMPASS,Hyundai Glovis Co Ltd,Vehicles Carrier,ro-ro,95.26,14.69,0,15.42,Monterey Bay VSR,active,NA
5/3/2023,OCEAN SEAGULL,Eastern Car Liner Ltd,General Cargo Ship,general cargo,14.69,12.95,0,88.2,Monterey Bay VSR,active,NA
5/3/2023,RACHEL CARSON,Monterey Bay Aquarium Research,Platform Supply Ship,other industry,23.86,11.13,0,46.67,Monterey Bay VSR,active,NA
5/3/2023,EXPRESS BERLIN,Maersk A/S,Container Ship (Fully Cellular),container,17.17,12.08,0,70.39,Monterey Bay VSR,active,NA
5/3/2023,EVER LUCENT,Evergreen Marine Corp,Container Ship (Fully Cellular),container,20.6,0,0,0,Monterey Bay VSR,active,NA
5/3/2023,APOLLO VOYAGER,Chevron Shipping Co LLC,Crude Oil Tanker,tanker,17.69,0,0,0,Monterey Bay VSR,active,NA
5/3/2023,HORIZON ENTERPRISE,Pasha Hawaii Holdings LLC,Container Ship (Fully Cellular),container,0.6,0,0,0,Monterey Bay VSR,active,NA
5/3/2023,NATIONAL GEOGRAPHIC QUEST,Lindblad Expeditions LLC,Passenger/Cruise,passenger,69.49,0,0,0,Monterey Bay VSR,active,NA
5/3/2023,DEBRA C,Curtin Maritime Corp,Tug,towing/pushing,112.93,112.93,0,100,Monterey Bay VSR,active,NA
5/3/2023,GERONIMO,Sause Bros Inc,Tug,towing/pushing,22.97,22.97,0,100,Monterey Bay VSR,active,NA
5/3/2023,NYK VIRGO,Ocean Network Express Pte Ltd,Container Ship (Fully Cellular),container,1.71,1.71,0,100,Monterey Bay VSR,active,NA
5/3/2023,GRAND PACE,Hyundai Glovis Co Ltd,Vehicles Carrier,ro-ro,0.16,0.16,0,100,Monterey Bay VSR,active,NA
