"date_pt","whale_presence_rating","vsr_season","s_fincount","fin_acoustic","s_humpbackcount","humpback_acoustic","s_bluecount","blue_acoustic","bwmv","bwmv_rating"
2022-09-21,"Very High","active",0,"Low Rating",42,"High Rating",0,"High Rating",0.68,"low"
2022-09-22,"Very High","active",0,"Low Rating",15,"High Rating",0,"High Rating",0.75,"medium"
2022-09-23,"Very High","active",0,"Low Rating",2,"High Rating",0,"High Rating",0.78,"medium"
2022-09-24,"Very High","active",0,"Low Rating",17,"High Rating",0,"High Rating",0.83,"medium"
2022-09-25,"Very High","active",0,"Low Rating",97,"High Rating",0,"High Rating",0.77,"medium"
2022-09-26,"Very High","active",0,"Low Rating",9,"High Rating",0,"High Rating",0.7,"medium"
2022-09-27,"Very High","active",0,"Low Rating",60,"High Rating",0,"Medium Rating",0.72,"medium"
2022-09-28,"Very High","active",0,"Low Rating",0,"High Rating",0,"Medium Rating",0.78,"medium"
2022-09-29,"Very High","active",0,"Low Rating",2,"High Rating",0,"High Rating",0.83,"medium"
2022-09-30,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.85,"medium"
2022-10-01,"Very High","active",0,"Low Rating",19,"High Rating",0,"Medium Rating",0.83,"medium"
2022-10-02,"Very High","active",0,"Low Rating",19,"High Rating",0,"High Rating",0.77,"medium"
2022-10-03,"Very High","active",0,"Low Rating",4,"High Rating",0,"High Rating",0.71,"medium"
2022-10-04,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.78,"medium"
2022-10-05,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.85,"medium"
2022-10-06,"Very High","active",0,"Low Rating",4,"High Rating",0,"High Rating",0.86,"medium"
2022-10-07,"Very High","active",0,"Low Rating",2,"High Rating",0,"High Rating",0.81,"medium"
2022-10-08,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.78,"medium"
2022-10-09,"Very High","active",0,"Low Rating",0,"High Rating",1,"High Rating",0.78,"medium"
2022-10-10,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.78,"medium"
2022-10-11,"Very High","active",0,"Low Rating",1,"High Rating",0,"High Rating",0.77,"medium"
2022-10-12,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.75,"medium"
2022-10-13,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.76,"medium"
2022-10-14,"Very High","active",0,"Low Rating",11,"High Rating",0,"High Rating",0.76,"medium"
2022-10-15,"Very High","active",1,"Low Rating",5,"High Rating",0,"High Rating",0.72,"medium"
