date_pt,whale_presence_rating,vsr_season,s_fincount,fin_acoustic,s_humpbackcount,humpback_acoustic,s_bluecount,blue_acoustic,bwmv,bwmv_rating,zone
9/17/2020,High,active,0,High Rating,2,High Rating,4,High Rating,0.79,medium,Socal VSR
9/18/2020,Very High,active,0,High Rating,0,Medium Rating,10,Medium Rating,0.78,medium,Socal VSR
9/19/2020,Very High,active,0,High Rating,0,High Rating,4,High Rating,0.78,medium,Socal VSR
9/20/2020,Very High,active,0,Medium Rating,0,High Rating,0,Medium Rating,0.8,medium,Socal VSR
9/21/2020,Very High,active,0,Medium Rating,0,High Rating,0,High Rating,0.78,medium,Socal VSR
9/22/2020,Very High,active,0,Medium Rating,3,High Rating,0,High Rating,0.78,medium,Socal VSR
9/23/2020,Very High,active,0,Medium Rating,0,High Rating,0,Medium Rating,0.76,medium,Socal VSR
9/24/2020,Very High,active,0,High Rating,0,High Rating,0,Medium Rating,0.76,medium,Socal VSR
9/25/2020,Very High,active,0,High Rating,4,High Rating,0,High Rating,0.75,medium,Socal VSR
9/26/2020,Very High,active,0,High Rating,1,Low Rating,2,High Rating,0.76,medium,Socal VSR
9/27/2020,Very High,active,0,High Rating,0,High Rating,0,High Rating,0.82,medium,Socal VSR
9/28/2020,Very High,active,0,Low Rating,0,Medium Rating,0,High Rating,0.82,medium,Socal VSR
9/29/2020,Very High,active,0,High Rating,0,Medium Rating,0,High Rating,0.8,medium,Socal VSR
9/30/2020,Very High,active,0,High Rating,0,High Rating,8,Medium Rating,0.79,medium,Socal VSR
10/1/2020,Very High,active,0,Low Rating,0,Medium Rating,0,High Rating,0.82,medium,Socal VSR
10/2/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.81,medium,Socal VSR
10/3/2020,Very High,active,0,Low Rating,0,High Rating,4,High Rating,0.8,medium,Socal VSR
10/4/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.78,medium,Socal VSR
10/5/2020,Very High,active,0,Low Rating,0,Low Rating,0,High Rating,0.74,low,Socal VSR
10/6/2020,High,active,0,High Rating,0,Medium Rating,0,High Rating,0.77,medium,Socal VSR
10/7/2020,Very High,active,0,High Rating,0,Medium Rating,1,High Rating,0.79,medium,Socal VSR
10/8/2020,Very High,active,1,High Rating,4,High Rating,2,High Rating,0.81,medium,Socal VSR
10/9/2020,Very High,active,0,Low Rating,0,Medium Rating,2,High Rating,0.82,medium,Socal VSR
10/10/2020,Very High,active,0,Low Rating,0,Medium Rating,2,High Rating,0.82,medium,Socal VSR
10/11/2020,Very High,active,0,Low Rating,0,High Rating,2,High Rating,0.81,medium,Socal VSR
10/12/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.8,medium,Socal VSR
10/13/2020,Very High,active,0,Low Rating,0,High Rating,0,Medium Rating,0.81,medium,Socal VSR
10/14/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.81,medium,Socal VSR
10/15/2020,Very High,active,0,Low Rating,26,High Rating,0,High Rating,0.81,medium,Socal VSR
10/16/2020,Very High,active,0,Low Rating,7,High Rating,0,High Rating,0.79,medium,Socal VSR
10/17/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.71,low,Socal VSR
10/18/2020,Very High,active,0,High Rating,0,High Rating,0,High Rating,0.64,low,Socal VSR
10/19/2020,Very High,active,0,Medium Rating,0,High Rating,0,Low Rating,0.67,low,Socal VSR
10/20/2020,Very High,active,0,High Rating,0,High Rating,0,Low Rating,0.73,low,Socal VSR
10/21/2020,Very High,active,0,Low Rating,4,High Rating,0,Low Rating,0.79,medium,Socal VSR
10/22/2020,Very High,active,0,Low Rating,0,High Rating,0,Low Rating,0.77,medium,Socal VSR
10/23/2020,Very High,active,0,High Rating,10,High Rating,0,Low Rating,0.77,medium,Socal VSR
10/24/2020,Very High,active,0,Medium Rating,13,High Rating,0,Low Rating,0.78,medium,Socal VSR
10/25/2020,Very High,active,0,High Rating,0,Medium Rating,0,Low Rating,0.78,medium,Socal VSR
10/26/2020,Very High,active,0,Medium Rating,0,Medium Rating,0,Low Rating,0.77,medium,Socal VSR
10/27/2020,Very High,active,0,High Rating,0,High Rating,0,Low Rating,0.79,medium,Socal VSR
10/28/2020,Very High,active,0,High Rating,0,High Rating,0,Low Rating,0.79,medium,Socal VSR
10/29/2020,Very High,active,0,Medium Rating,5,High Rating,1,Low Rating,0.78,medium,Socal VSR
10/30/2020,Very High,active,0,Medium Rating,7,High Rating,1,High Rating,0.78,medium,Socal VSR
10/31/2020,Very High,active,0,Low Rating,4,High Rating,0,Medium Rating,0.78,medium,Socal VSR
11/1/2020,Very High,active,0,High Rating,6,High Rating,0,High Rating,0.77,medium,Socal VSR
11/2/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.76,medium,Socal VSR
11/3/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.77,medium,Socal VSR
11/4/2020,Very High,active,0,High Rating,9,High Rating,0,Medium Rating,0.76,medium,Socal VSR
11/5/2020,Very High,active,0,High Rating,10,High Rating,0,Low Rating,0.75,medium,Socal VSR
11/6/2020,Very High,active,0,High Rating,0,Medium Rating,0,Medium Rating,0.77,medium,Socal VSR
11/7/2020,Very High,active,0,High Rating,0,High Rating,0,Medium Rating,0.77,medium,Socal VSR
11/8/2020,Very High,active,0,High Rating,0,High Rating,0,Low Rating,0.7,low,Socal VSR
11/9/2020,Very High,active,0,High Rating,0,High Rating,0,Low Rating,0.65,low,Socal VSR
11/10/2020,Very High,active,0,Low Rating,0,High Rating,0,Low Rating,0.6,low,Socal VSR
11/11/2020,High,active,1,Medium Rating,6,High Rating,1,Medium Rating,0.56,low,Socal VSR
11/12/2020,Very High,active,0,Low Rating,4,High Rating,0,High Rating,0.54,low,Socal VSR
11/13/2020,Very High,active,0,High Rating,0,Medium Rating,0,Low Rating,0.53,low,Socal VSR
11/14/2020,Very High,active,1,High Rating,0,Medium Rating,0,High Rating,0.51,low,Socal VSR
11/15/2020,Very High,active,0,High Rating,0,High Rating,0,Medium Rating,0.48,low,Socal VSR
11/16/2020,Very High,active,0,Medium Rating,0,High Rating,0,Medium Rating,0.46,low,Socal VSR
11/17/2020,Very High,active,0,Medium Rating,0,High Rating,0,High Rating,0.39,low,Socal VSR
11/18/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.45,low,Socal VSR
11/19/2020,Very High,active,0,Low Rating,0,Medium Rating,2,High Rating,0.48,low,Socal VSR
11/20/2020,Very High,active,0,Low Rating,2,High Rating,0,High Rating,0.45,low,Socal VSR
11/21/2020,Very High,active,1,Low Rating,4,High Rating,4,High Rating,0.43,low,Socal VSR
11/22/2020,Very High,active,0,Medium Rating,0,Medium Rating,1,High Rating,0.44,low,Socal VSR
11/23/2020,Very High,active,0,High Rating,0,High Rating,0,High Rating,0.41,low,Socal VSR
11/24/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.28,low,Socal VSR
11/25/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.28,low,Socal VSR
11/26/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.27,low,Socal VSR
11/27/2020,Very High,active,4,Low Rating,0,High Rating,12,High Rating,0.25,low,Socal VSR
11/28/2020,Very High,active,1,Low Rating,0,Medium Rating,3,High Rating,0.23,low,Socal VSR
11/29/2020,Very High,active,0,Medium Rating,0,High Rating,0,High Rating,0.2,low,Socal VSR
11/30/2020,Very High,active,0,Medium Rating,0,Low Rating,0,High Rating,0.28,low,Socal VSR
12/1/2020,Very High,active,0,Medium Rating,0,High Rating,0,High Rating,0.3,low,Socal VSR
12/2/2020,Very High,active,0,Medium Rating,0,Low Rating,0,High Rating,0.28,low,Socal VSR
12/3/2020,Very High,active,0,Low Rating,0,Low Rating,0,High Rating,0.23,low,Socal VSR
12/4/2020,Very High,active,0,Medium Rating,0,Low Rating,0,High Rating,0.21,low,Socal VSR
12/5/2020,Very High,active,0,Medium Rating,0,Low Rating,0,High Rating,0.15,low,Socal VSR
12/6/2020,Very High,active,0,High Rating,0,Low Rating,0,High Rating,0.14,low,Socal VSR
12/7/2020,Very High,active,0,High Rating,0,Low Rating,0,High Rating,0.16,low,Socal VSR
12/8/2020,Very High,active,0,Medium Rating,0,Low Rating,0,High Rating,0.24,low,Socal VSR
12/9/2020,Very High,active,0,Medium Rating,0,Low Rating,0,Low Rating,0.22,low,Socal VSR
12/10/2020,Very High,active,0,Medium Rating,0,Low Rating,0,Low Rating,0.18,low,Socal VSR
12/11/2020,Very High,active,0,High Rating,0,Low Rating,0,Medium Rating,0.19,low,Socal VSR
12/12/2020,Very High,active,0,Low Rating,0,Low Rating,0,Low Rating,0.24,low,Socal VSR
12/13/2020,Very High,active,0,High Rating,0,Medium Rating,0,High Rating,0.24,low,Socal VSR
12/14/2020,Very High,active,0,Low Rating,0,Medium Rating,0,High Rating,0.24,low,Socal VSR
12/15/2020,Very High,active,0,Medium Rating,0,Medium Rating,0,Medium Rating,0.21,low,Socal VSR
12/16/2020,Very High,inactive,0,Low Rating,0,Medium Rating,0,High Rating,0.18,low,Socal VSR
12/17/2020,Very High,inactive,0,Low Rating,0,Medium Rating,0,Medium Rating,0.19,low,Socal VSR
12/18/2020,Very High,inactive,0,Low Rating,0,Low Rating,0,High Rating,0.21,low,Socal VSR
12/19/2020,Very High,inactive,0,Low Rating,0,High Rating,0,High Rating,0.19,low,Socal VSR
12/20/2020,Very High,inactive,0,Medium Rating,0,High Rating,0,High Rating,0.13,low,Socal VSR
12/21/2020,Very High,inactive,0,Low Rating,0,Medium Rating,0,High Rating,0.11,low,Socal VSR
12/22/2020,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.11,low,Socal VSR
12/23/2020,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.11,low,Socal VSR
12/24/2020,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.12,low,Socal VSR
12/25/2020,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.11,low,Socal VSR
12/26/2020,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.1,low,Socal VSR
12/27/2020,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.1,low,Socal VSR
12/28/2020,Very High,inactive,0,Low Rating,0,Low Rating,0,High Rating,0.09,low,Socal VSR
12/29/2020,Very High,inactive,0,High Rating,0,Medium Rating,0,High Rating,0.07,low,Socal VSR
12/30/2020,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.08,low,Socal VSR
12/31/2020,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.08,low,Socal VSR
1/1/2021,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.06,low,Socal VSR
1/2/2021,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.05,low,Socal VSR
1/3/2021,Very High,inactive,0,Low Rating,0,Low Rating,0,High Rating,0.05,low,Socal VSR
1/4/2021,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.05,low,Socal VSR
1/5/2021,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.05,low,Socal VSR
1/6/2021,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.05,low,Socal VSR
1/7/2021,Very High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.06,low,Socal VSR
1/8/2021,Very High,inactive,0,High Rating,0,Low Rating,0,Medium Rating,0.06,low,Socal VSR
1/9/2021,Very High,inactive,0,High Rating,0,Low Rating,0,Medium Rating,0.05,low,Socal VSR
1/10/2021,Very High,inactive,0,High Rating,0,High Rating,0,High Rating,0.06,low,Socal VSR
1/11/2021,Very High,inactive,0,Medium Rating,0,Medium Rating,0,Low Rating,0.06,low,Socal VSR
1/12/2021,Very High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.06,low,Socal VSR
1/13/2021,Very High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.07,low,Socal VSR
1/14/2021,Very High,inactive,0,Medium Rating,0,Medium Rating,0,Low Rating,0.07,low,Socal VSR
1/15/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.07,low,Socal VSR
1/16/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.08,low,Socal VSR
1/17/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.1,low,Socal VSR
1/18/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.13,low,Socal VSR
1/19/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.13,low,Socal VSR
1/20/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.11,low,Socal VSR
1/21/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.1,low,Socal VSR
1/22/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.09,low,Socal VSR
1/23/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.08,low,Socal VSR
1/24/2021,High,inactive,0,High Rating,0,Low Rating,0,High Rating,0.07,low,Socal VSR
1/25/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.05,low,Socal VSR
1/26/2021,Very High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
1/27/2021,Very High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.03,low,Socal VSR
1/28/2021,Very High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.03,low,Socal VSR
1/29/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.03,low,Socal VSR
1/30/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.03,low,Socal VSR
1/31/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.05,low,Socal VSR
2/1/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.05,low,Socal VSR
2/2/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.07,low,Socal VSR
2/3/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.07,low,Socal VSR
2/4/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.08,low,Socal VSR
2/5/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.06,low,Socal VSR
2/6/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.07,low,Socal VSR
2/7/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.06,low,Socal VSR
2/8/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.06,low,Socal VSR
2/9/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.06,low,Socal VSR
2/10/2021,Low,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.06,low,Socal VSR
2/11/2021,Low,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.05,low,Socal VSR
2/12/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.05,low,Socal VSR
2/13/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.05,low,Socal VSR
2/14/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
2/15/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
2/16/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
2/17/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
2/18/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
2/19/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
2/20/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
2/21/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
2/22/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.04,low,Socal VSR
2/23/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.05,low,Socal VSR
2/24/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.06,low,Socal VSR
2/25/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.07,low,Socal VSR
2/26/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,0.08,low,Socal VSR
2/27/2021,High,inactive,0,High Rating,0,Low Rating,0,Low Rating,NA,offline,Socal VSR
2/28/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.08,low,Socal VSR
3/1/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.08,low,Socal VSR
3/2/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.09,low,Socal VSR
3/3/2021,High,inactive,0,Low Rating,0,Medium Rating,0,Low Rating,0.07,low,Socal VSR
3/4/2021,High,inactive,0,Medium Rating,0,Medium Rating,0,Low Rating,0.09,low,Socal VSR
3/5/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.1,low,Socal VSR
3/6/2021,High,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.07,low,Socal VSR
3/7/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.07,low,Socal VSR
3/8/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.08,low,Socal VSR
3/9/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.08,low,Socal VSR
3/10/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.06,low,Socal VSR
3/11/2021,Low,inactive,0,Medium Rating,0,Low Rating,0,Low Rating,0.06,low,Socal VSR
3/12/2021,Low,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.05,low,Socal VSR
3/13/2021,High,inactive,0,Low Rating,0,Low Rating,0,Low Rating,0.06,low,Socal VSR
3/14/2021,High,inactive,0,Low Rating,0,Medium Rating,0,Low Rating,0.05,low,Socal VSR
