date_pt,whale_presence_rating,vsr_season,s_fincount,fin_acoustic,s_humpbackcount,humpback_acoustic,s_bluecount,blue_acoustic,bwmv,bwmv_rating,blue_acoustic_count,fin_acoustic_count,humpback_acoustic_count,n_periods,blue_acoustic_percent,fin_acoustic_percent,humpback_acoustic_percent,zone
9/17/2020,High,active,0,High Rating,2,High Rating,4,High Rating,0.79,medium,12,12,6,34,35,35,18,Socal VSR
9/18/2020,Very High,active,0,High Rating,0,Medium Rating,10,Medium Rating,0.78,medium,1,19,5,42,2,45,12,Socal VSR
9/19/2020,Very High,active,0,High Rating,0,High Rating,4,High Rating,0.78,medium,6,19,12,29,21,66,41,Socal VSR
9/20/2020,Very High,active,0,Medium Rating,0,High Rating,0,Medium Rating,0.8,medium,1,3,8,51,2,6,16,Socal VSR
9/21/2020,Very High,active,0,Medium Rating,0,High Rating,0,High Rating,0.78,medium,10,1,14,32,31,3,44,Socal VSR
9/22/2020,Very High,active,0,Medium Rating,3,High Rating,0,High Rating,0.78,medium,19,2,21,28,68,7,75,Socal VSR
9/23/2020,Very High,active,0,Medium Rating,0,High Rating,0,Medium Rating,0.76,medium,1,1,23,41,2,2,56,Socal VSR
9/24/2020,Very High,active,0,High Rating,0,High Rating,0,Medium Rating,0.76,medium,2,6,18,37,5,16,49,Socal VSR
9/25/2020,Very High,active,0,High Rating,4,High Rating,0,High Rating,0.75,medium,9,14,8,32,28,44,25,Socal VSR
9/26/2020,Very High,active,0,High Rating,1,Low Rating,2,High Rating,0.76,medium,19,9,0,31,61,29,0,Socal VSR
9/27/2020,Very High,active,0,High Rating,0,High Rating,0,High Rating,0.82,medium,15,8,8,48,31,17,17,Socal VSR
9/28/2020,Very High,active,0,Low Rating,0,Medium Rating,0,High Rating,0.82,medium,16,0,3,50,32,0,6,Socal VSR
9/29/2020,Very High,active,0,High Rating,0,Medium Rating,0,High Rating,0.8,medium,17,7,3,30,57,23,10,Socal VSR
9/30/2020,Very High,active,0,High Rating,0,High Rating,8,Medium Rating,0.79,medium,2,9,10,40,5,22,25,Socal VSR
10/1/2020,Very High,active,0,Low Rating,0,Medium Rating,0,High Rating,0.82,medium,15,0,4,64,23,0,6,Socal VSR
10/2/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.81,medium,17,0,9,61,28,0,15,Socal VSR
10/3/2020,Very High,active,0,Low Rating,0,High Rating,4,High Rating,0.8,medium,32,0,7,44,73,0,16,Socal VSR
10/4/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.78,medium,19,0,11,36,53,0,31,Socal VSR
10/5/2020,Very High,active,0,Low Rating,0,Low Rating,0,High Rating,0.74,low,26,0,0,33,79,0,0,Socal VSR
10/6/2020,High,active,0,High Rating,0,Medium Rating,0,High Rating,0.77,medium,14,13,3,53,26,25,6,Socal VSR
10/7/2020,Very High,active,0,High Rating,0,Medium Rating,1,High Rating,0.79,medium,16,16,5,35,46,46,14,Socal VSR
10/8/2020,Very High,active,1,High Rating,4,High Rating,2,High Rating,0.81,medium,10,4,14,34,29,12,41,Socal VSR
10/9/2020,Very High,active,0,Low Rating,0,Medium Rating,2,High Rating,0.82,medium,27,0,4,49,55,0,8,Socal VSR
10/10/2020,Very High,active,0,Low Rating,0,Medium Rating,2,High Rating,0.82,medium,16,0,1,62,26,0,2,Socal VSR
10/11/2020,Very High,active,0,Low Rating,0,High Rating,2,High Rating,0.81,medium,8,0,20,48,17,0,42,Socal VSR
10/12/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.8,medium,5,0,13,44,11,0,30,Socal VSR
10/13/2020,Very High,active,0,Low Rating,0,High Rating,0,Medium Rating,0.81,medium,1,0,17,49,2,0,35,Socal VSR
10/14/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.81,medium,7,0,24,31,23,0,77,Socal VSR
10/15/2020,Very High,active,0,Low Rating,26,High Rating,0,High Rating,0.81,medium,7,0,18,47,15,0,38,Socal VSR
10/16/2020,Very High,active,0,Low Rating,7,High Rating,0,High Rating,0.79,medium,9,0,22,30,30,0,73,Socal VSR
10/17/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.71,low,10,0,20,29,34,0,69,Socal VSR
10/18/2020,Very High,active,0,High Rating,0,High Rating,0,High Rating,0.64,low,15,12,8,45,33,27,18,Socal VSR
10/19/2020,Very High,active,0,Medium Rating,0,High Rating,0,Low Rating,0.67,low,0,1,28,47,0,2,60,Socal VSR
10/20/2020,Very High,active,0,High Rating,0,High Rating,0,Low Rating,0.73,low,0,9,11,47,0,19,23,Socal VSR
10/21/2020,Very High,active,0,Low Rating,4,High Rating,0,Low Rating,0.79,medium,0,0,28,48,0,0,58,Socal VSR
10/22/2020,Very High,active,0,Low Rating,0,High Rating,0,Low Rating,0.77,medium,0,0,25,25,0,0,100,Socal VSR
10/23/2020,Very High,active,0,High Rating,10,High Rating,0,Low Rating,0.77,medium,0,8,18,34,0,24,53,Socal VSR
10/24/2020,Very High,active,0,Medium Rating,13,High Rating,0,Low Rating,0.78,medium,0,2,21,35,0,6,60,Socal VSR
10/25/2020,Very High,active,0,High Rating,0,Medium Rating,0,Low Rating,0.78,medium,0,18,6,43,0,42,14,Socal VSR
10/26/2020,Very High,active,0,Medium Rating,0,Medium Rating,0,Low Rating,0.77,medium,0,6,7,77,0,8,9,Socal VSR
10/27/2020,Very High,active,0,High Rating,0,High Rating,0,Low Rating,0.79,medium,0,9,10,55,0,16,18,Socal VSR
10/28/2020,Very High,active,0,High Rating,0,High Rating,0,Low Rating,0.79,medium,0,7,15,44,0,16,34,Socal VSR
10/29/2020,Very High,active,0,Medium Rating,5,High Rating,1,Low Rating,0.78,medium,0,1,25,26,0,4,96,Socal VSR
10/30/2020,Very High,active,0,Medium Rating,7,High Rating,1,High Rating,0.78,medium,4,1,23,24,17,4,96,Socal VSR
10/31/2020,Very High,active,0,Low Rating,4,High Rating,0,Medium Rating,0.78,medium,4,0,14,44,9,0,32,Socal VSR
11/1/2020,Very High,active,0,High Rating,6,High Rating,0,High Rating,0.77,medium,12,7,13,37,32,19,35,Socal VSR
11/2/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.76,medium,8,0,18,44,18,0,41,Socal VSR
11/3/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.77,medium,5,0,20,28,18,0,71,Socal VSR
11/4/2020,Very High,active,0,High Rating,9,High Rating,0,Medium Rating,0.76,medium,2,4,23,34,6,12,68,Socal VSR
11/5/2020,Very High,active,0,High Rating,10,High Rating,0,Low Rating,0.75,medium,0,7,8,49,0,14,16,Socal VSR
11/6/2020,Very High,active,0,High Rating,0,Medium Rating,0,Medium Rating,0.77,medium,1,19,2,47,2,40,4,Socal VSR
11/7/2020,Very High,active,0,High Rating,0,High Rating,0,Medium Rating,0.77,medium,1,18,17,30,3,60,57,Socal VSR
11/8/2020,Very High,active,0,High Rating,0,High Rating,0,Low Rating,0.7,low,0,7,9,55,0,13,16,Socal VSR
11/9/2020,Very High,active,0,High Rating,0,High Rating,0,Low Rating,0.65,low,0,5,9,48,0,10,19,Socal VSR
11/10/2020,Very High,active,0,Low Rating,0,High Rating,0,Low Rating,0.6,low,0,0,23,39,0,0,59,Socal VSR
11/11/2020,High,active,1,Medium Rating,6,High Rating,1,Medium Rating,0.56,low,5,2,13,56,9,4,23,Socal VSR
11/12/2020,Very High,active,0,Low Rating,4,High Rating,0,High Rating,0.54,low,13,0,8,50,26,0,16,Socal VSR
11/13/2020,Very High,active,0,High Rating,0,Medium Rating,0,Low Rating,0.53,low,0,5,4,52,0,10,8,Socal VSR
11/14/2020,Very High,active,1,High Rating,0,Medium Rating,0,High Rating,0.51,low,18,6,3,36,50,17,8,Socal VSR
11/15/2020,Very High,active,0,High Rating,0,High Rating,0,Medium Rating,0.48,low,1,12,19,38,3,32,50,Socal VSR
11/16/2020,Very High,active,0,Medium Rating,0,High Rating,0,Medium Rating,0.46,low,3,2,14,50,6,4,28,Socal VSR
11/17/2020,Very High,active,0,Medium Rating,0,High Rating,0,High Rating,0.39,low,13,2,17,45,29,4,38,Socal VSR
11/18/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.45,low,24,0,10,43,56,0,23,Socal VSR
11/19/2020,Very High,active,0,Low Rating,0,Medium Rating,2,High Rating,0.48,low,20,0,5,54,37,0,9,Socal VSR
11/20/2020,Very High,active,0,Low Rating,2,High Rating,0,High Rating,0.45,low,23,0,6,32,72,0,19,Socal VSR
11/21/2020,Very High,active,1,Low Rating,4,High Rating,4,High Rating,0.43,low,16,0,20,24,67,0,83,Socal VSR
11/22/2020,Very High,active,0,Medium Rating,0,Medium Rating,1,High Rating,0.44,low,21,2,4,38,55,5,11,Socal VSR
11/23/2020,Very High,active,0,High Rating,0,High Rating,0,High Rating,0.41,low,14,6,11,29,48,21,38,Socal VSR
11/24/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.28,low,15,0,19,24,62,0,79,Socal VSR
11/25/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.28,low,20,0,15,30,67,0,50,Socal VSR
11/26/2020,Very High,active,0,Low Rating,0,High Rating,0,High Rating,0.27,low,10,0,16,28,36,0,57,Socal VSR
11/27/2020,Very High,active,4,Low Rating,0,High Rating,12,High Rating,0.25,low,20,0,12,27,74,0,44,Socal VSR
11/28/2020,Very High,active,1,Low Rating,0,Medium Rating,3,High Rating,0.23,low,24,0,2,29,83,0,7,Socal VSR
11/29/2020,Very High,active,0,Medium Rating,0,High Rating,0,High Rating,0.2,low,25,1,7,28,89,4,25,Socal VSR
11/30/2020,Very High,active,0,Medium Rating,0,Low Rating,0,High Rating,0.28,low,24,2,0,37,65,5,0,Socal VSR
12/1/2020,Very High,active,0,Medium Rating,0,High Rating,0,High Rating,0.3,low,17,2,8,33,52,6,24,Socal VSR
12/2/2020,Very High,active,0,Medium Rating,0,Low Rating,0,High Rating,0.28,low,16,4,0,49,33,8,0,Socal VSR
12/3/2020,Very High,active,0,Low Rating,0,Low Rating,0,High Rating,0.23,low,6,0,0,43,14,0,0,Socal VSR
12/4/2020,Very High,active,0,Medium Rating,0,Low Rating,0,High Rating,0.21,low,10,3,0,36,28,8,0,Socal VSR
12/5/2020,Very High,active,0,Medium Rating,0,Low Rating,0,High Rating,0.15,low,14,1,0,52,27,2,0,Socal VSR
12/6/2020,Very High,active,0,High Rating,0,Low Rating,0,High Rating,0.14,low,17,7,0,42,40,17,0,Socal VSR
12/7/2020,Very High,active,0,High Rating,0,Low Rating,0,High Rating,0.16,low,9,9,0,66,14,14,0,Socal VSR
